Topic,Values
0,beneficiaries,wine,star,sip,intellectual,lakh,crore,month,scheme,launch
1,ujjwala,want,talk,consider,team,beti,modi,railway,soon,today
2,launch,universal,step,major,card,components,provision,ayushmanbharat,complete,healthcar
3,pmjay,medical,india,see,benefit,scheme,unparalleled,enthusiasm,ask,karyakarta
4,people,country,coverage,provide,medical,yojana,benefit,crore,lakh,scheme
5,unparalleled,enthusiasm,karyakarta,ghazipur,ask,pmjay,see,month,scheme,exclude
6,namo,ayushmanbharat,ask,ghazipur,karyakarta,enthusiasm,unparalleled,pmjay,month,see
7,namo,lakh,nadda,yojana,job,scheme,people,ayushmanbharat,benefit,great
8,ayushmanbharat,namo,ministry,health,scheme,people,benefit,lakh,sector,check
9,see,wait,comment,tragedy,liberandu,lacs,scheme,benefit,enthusiasm,unparalleled
